iter	Passed	Remaining
0	1	118
1	1	85
2	2	73
3	2	64
4	3	61
5	3	58
6	4	56
7	4	55
8	5	53
9	5	52
10	6	51
11	6	50
12	7	49
13	7	48
14	8	47
15	8	46
16	9	45
17	9	45
18	10	44
19	10	43
20	11	43
21	11	42
22	12	42
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	24	27
48	25	26
49	26	26
50	26	25
51	27	24
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	19
63	32	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	47	4
92	48	3
93	48	3
94	49	2
95	49	2
96	50	1
97	50	1
98	51	0
99	51	0
