iter	Passed	Remaining
0	329	329238
1	332	166006
2	334	111153
3	335	83569
4	336	67057
5	338	56029
6	339	48176
7	340	42267
8	342	37661
9	343	33974
10	344	30963
11	352	29046
12	354	26879
13	355	25032
14	356	23414
15	357	21995
16	358	20744
17	359	19631
18	361	18639
19	362	17746
20	363	16933
21	365	16262
22	367	15604
23	368	14989
24	370	14437
25	371	13907
26	372	13422
27	373	12968
28	374	12544
29	375	12149
30	376	11778
31	377	11431
32	379	11122
33	380	10821
34	381	10531
35	383	10259
36	384	10005
37	417	10575
38	419	10338
39	420	10094
40	421	9864
41	423	9650
42	424	9441
43	425	9240
44	426	9048
45	427	8865
46	428	8689
47	429	8521
48	431	8374
49	433	8229
50	434	8086
51	435	7944
52	436	7806
53	437	7672
54	439	7543
55	440	7419
56	441	7299
57	442	7183
58	443	7070
59	444	6962
60	445	6858
61	451	6824
62	460	6853
63	462	6767
64	468	6736
65	469	6646
66	474	6610
67	476	6526
68	477	6446
69	478	6362
70	480	6282
71	494	6368
72	498	6330
73	580	7269
74	582	7189
75	584	7101
76	585	7021
77	597	7066
78	602	7019
79	611	7029
80	613	6960
81	614	6881
82	615	6797
83	617	6729
84	618	6655
85	619	6582
86	620	6511
87	628	6513
88	629	6445
89	630	6377
90	632	6313
91	633	6248
92	634	6185
93	635	6123
94	636	6062
95	640	6034
96	641	5976
97	646	5949
98	648	5905
99	650	5850
100	651	5797
101	658	5797
102	660	5749
103	661	5698
104	662	5648
105	663	5598
106	664	5548
107	666	5504
108	679	5558
109	681	5514
110	683	5474
111	689	5469
112	692	5438
113	693	5393
114	695	5349
115	696	5305
116	697	5260
117	698	5218
118	712	5277
119	740	5428
120	742	5392
121	743	5348
122	744	5306
123	745	5266
124	746	5225
125	747	5186
126	748	5144
127	749	5106
128	750	5069
129	753	5043
130	754	5006
131	755	4970
132	757	4935
133	758	4900
134	759	4865
135	760	4831
136	761	4797
137	762	4764
138	763	4731
139	765	4701
140	766	4669
141	767	4634
142	771	4624
143	772	4594
144	774	4564
145	775	4534
146	776	4504
147	777	4475
148	778	4446
149	795	4505
150	796	4477
151	797	4448
152	798	4420
153	799	4392
154	802	4372
155	803	4346
156	804	4319
157	805	4293
158	806	4267
159	807	4241
160	808	4213
161	809	4188
162	810	4163
163	853	4352
164	855	4327
165	856	4302
166	857	4277
167	858	4251
168	859	4227
169	860	4202
170	861	4178
171	862	4153
172	864	4130
173	865	4107
174	866	4084
175	869	4072
176	871	4050
177	872	4028
178	873	4006
179	875	3989
180	877	3969
181	878	3949
182	879	3928
183	881	3907
184	890	3921
185	892	3905
186	893	3885
187	894	3864
188	895	3843
189	896	3823
190	897	3803
191	904	3807
192	906	3789
193	907	3770
194	908	3750
195	909	3732
196	910	3713
197	912	3694
198	913	3675
199	914	3656
200	917	3647
201	918	3630
202	920	3613
203	921	3594
204	922	3577
205	923	3559
206	924	3541
207	925	3524
208	926	3507
209	927	3490
210	928	3473
211	929	3456
212	938	3469
213	943	3463
214	952	3479
215	954	3463
216	955	3449
217	957	3433
218	958	3417
219	959	3401
220	960	3385
221	961	3370
222	962	3354
223	967	3351
224	969	3338
225	970	3323
226	971	3308
227	972	3293
228	973	3278
229	974	3263
230	975	3249
231	977	3234
232	978	3220
233	979	3206
234	985	3207
235	987	3196
236	1004	3232
237	1006	3222
238	1007	3208
239	1009	3198
240	1011	3184
241	1012	3170
242	1015	3163
243	1016	3150
244	1018	3137
245	1019	3124
246	1020	3112
247	1023	3102
248	1024	3089
249	1025	3075
250	1026	3062
251	1027	3049
252	1028	3036
253	1034	3037
254	1035	3025
255	1036	3012
256	1037	3000
257	1039	2988
258	1040	2975
259	1041	2963
260	1042	2951
261	1043	2938
262	1044	2926
263	1045	2914
264	1047	2904
265	1049	2895
266	1050	2884
267	1051	2872
268	1052	2860
269	1054	2851
270	1056	2840
271	1057	2829
272	1058	2819
273	1059	2807
274	1061	2797
275	1062	2786
276	1063	2775
277	1064	2765
278	1066	2755
279	1067	2745
280	1073	2746
281	1074	2736
282	1075	2725
283	1077	2715
284	1078	2704
285	1079	2694
286	1080	2684
287	1081	2673
288	1082	2663
289	1083	2653
290	1084	2642
291	1092	2648
292	1093	2639
293	1094	2629
294	1096	2619
295	1098	2612
296	1099	2602
297	1101	2593
298	1118	2622
299	1125	2626
300	1126	2616
301	1127	2606
302	1129	2597
303	1130	2587
304	1131	2577
305	1132	2568
306	1133	2558
307	1134	2549
308	1138	2545
309	1139	2535
310	1140	2526
311	1141	2517
312	1142	2508
313	1144	2499
314	1145	2490
315	1146	2482
316	1160	2500
317	1161	2491
318	1163	2482
319	1164	2474
320	1165	2465
321	1166	2456
322	1167	2447
323	1172	2446
324	1173	2438
325	1175	2429
326	1176	2420
327	1177	2411
328	1178	2403
329	1179	2395
330	1180	2386
331	1182	2378
332	1183	2369
333	1185	2362
334	1186	2355
335	1187	2347
336	1190	2342
337	1191	2334
338	1192	2325
339	1194	2317
340	1195	2309
341	1196	2301
342	1197	2293
343	1198	2285
344	1199	2277
345	1201	2271
346	1203	2263
347	1204	2256
348	1205	2248
349	1206	2241
350	1207	2233
351	1209	2225
352	1210	2218
353	1211	2210
354	1212	2202
355	1213	2195
356	1220	2198
357	1224	2195
358	1226	2190
359	1228	2183
360	1230	2177
361	1231	2170
362	1232	2163
363	1234	2156
364	1235	2149
365	1237	2143
366	1238	2136
367	1239	2128
368	1249	2136
369	1251	2130
370	1252	2123
371	1253	2116
372	1254	2108
373	1255	2101
374	1256	2094
375	1257	2087
376	1258	2080
377	1259	2073
378	1264	2071
379	1265	2064
380	1266	2058
381	1267	2051
382	1269	2044
383	1270	2037
384	1271	2030
385	1272	2024
386	1273	2017
387	1274	2010
388	1276	2004
389	1290	2018
390	1291	2012
391	1299	2014
392	1300	2008
393	1301	2001
394	1302	1994
395	1303	1988
396	1304	1981
397	1305	1974
398	1306	1968
399	1308	1962
400	1313	1962
401	1314	1956
402	1349	1999
403	1350	1992
404	1351	1986
405	1353	1979
406	1354	1972
407	1355	1966
408	1356	1959
409	1357	1953
410	1358	1947
411	1364	1947
412	1365	1941
413	1367	1935
414	1368	1928
415	1369	1922
416	1370	1916
417	1371	1909
418	1372	1903
419	1373	1897
420	1375	1891
421	1380	1890
422	1381	1884
423	1382	1878
424	1384	1872
425	1385	1866
426	1386	1860
427	1387	1854
428	1388	1848
429	1389	1841
430	1390	1835
431	1391	1829
432	1423	1864
433	1424	1858
434	1430	1857
435	1431	1852
436	1433	1846
437	1434	1840
438	1435	1834
439	1436	1828
440	1437	1822
441	1438	1816
442	1439	1810
443	1440	1804
444	1441	1798
445	1445	1794
446	1446	1788
447	1447	1783
448	1448	1777
449	1449	1771
450	1450	1766
451	1454	1763
452	1455	1757
453	1456	1751
454	1457	1745
455	1464	1746
456	1465	1741
457	1466	1735
458	1514	1785
459	1516	1780
460	1517	1774
461	1518	1768
462	1520	1763
463	1521	1757
464	1522	1751
465	1523	1745
466	1524	1740
467	1527	1736
468	1529	1731
469	1530	1725
470	1531	1720
471	1532	1714
472	1533	1709
473	1535	1703
474	1536	1697
475	1537	1692
476	1538	1686
477	1539	1681
478	1540	1675
479	1541	1669
480	1545	1667
481	1546	1661
482	1547	1656
483	1553	1656
484	1554	1650
485	1555	1645
486	1556	1640
487	1562	1639
488	1563	1634
489	1565	1629
490	1566	1623
491	1567	1618
492	1568	1612
493	1569	1607
494	1570	1602
495	1571	1596
496	1572	1591
497	1573	1586
498	1577	1583
499	1578	1578
500	1579	1573
501	1580	1568
502	1582	1563
503	1583	1558
504	1584	1552
505	1585	1547
506	1586	1542
507	1587	1537
508	1588	1532
509	1615	1552
510	1616	1547
511	1618	1542
512	1619	1537
513	1620	1532
514	1621	1526
515	1622	1521
516	1627	1520
517	1629	1516
518	1630	1511
519	1631	1506
520	1633	1501
521	1634	1496
522	1635	1491
523	1687	1533
524	1689	1528
525	1721	1551
526	1722	1545
527	1723	1540
528	1726	1537
529	1727	1531
530	1728	1526
531	1730	1522
532	1731	1517
533	1732	1512
534	1745	1517
535	1747	1512
536	1748	1507
537	1749	1502
538	1750	1497
539	1751	1492
540	1752	1487
541	1754	1482
542	1755	1477
543	1756	1472
544	1757	1467
545	1759	1463
546	1761	1458
547	1762	1453
548	1764	1449
549	1765	1444
550	1766	1439
551	1767	1434
552	1768	1429
553	1769	1424
554	1770	1419
555	1771	1414
556	1773	1410
557	1775	1406
558	1776	1401
559	1778	1397
560	1779	1392
561	1780	1387
562	1781	1382
563	1782	1378
564	1783	1373
565	1785	1368
566	1786	1364
567	1789	1361
568	1790	1356
569	1836	1385
570	1839	1381
571	1840	1377
572	1842	1373
573	1843	1368
574	1844	1363
575	1845	1358
576	1847	1354
577	1848	1349
578	1849	1344
579	1850	1339
580	1851	1335
581	1852	1330
582	1952	1396
583	1953	1391
584	1954	1386
585	1956	1382
586	1958	1377
587	1959	1372
588	1960	1368
589	1961	1363
590	1962	1358
591	1964	1353
592	1965	1349
593	1966	1344
594	1967	1339
595	1968	1334
596	1969	1329
597	1971	1324
598	1973	1321
599	1974	1316
600	1975	1311
601	1976	1306
602	1977	1302
603	1979	1297
604	1980	1292
605	1981	1288
606	1982	1283
607	1987	1281
608	1988	1276
609	1990	1272
610	1991	1267
611	1992	1263
612	1993	1258
613	1995	1254
614	1996	1249
615	1997	1245
616	1998	1240
617	2005	1239
618	2006	1234
619	2007	1230
620	2008	1225
621	2009	1221
622	2010	1216
623	2012	1212
624	2013	1208
625	2014	1203
626	2016	1199
627	2017	1195
628	2018	1190
629	2020	1186
630	2021	1182
631	2022	1177
632	2023	1173
633	2074	1197
634	2075	1193
635	2076	1188
636	2078	1184
637	2079	1179
638	2081	1175
639	2082	1171
640	2084	1167
641	2085	1162
642	2086	1158
643	2088	1154
644	2089	1149
645	2090	1145
646	2091	1141
647	2092	1136
648	2093	1132
649	2094	1127
650	2095	1123
651	2099	1120
652	2100	1116
653	2101	1111
654	2102	1107
655	2103	1103
656	2108	1100
657	2109	1096
658	2110	1092
659	2111	1087
660	2114	1084
661	2115	1080
662	2116	1075
663	2118	1071
664	2120	1068
665	2126	1066
666	2128	1062
667	2132	1059
668	2133	1055
669	2134	1051
670	2136	1047
671	2137	1043
672	2138	1039
673	2139	1034
674	2140	1030
675	2142	1026
676	2143	1022
677	2144	1018
678	2154	1018
679	2156	1014
680	2157	1010
681	2158	1006
682	2159	1002
683	2160	998
684	2161	994
685	2163	990
686	2164	986
687	2165	981
688	2166	977
689	2226	1000
690	2227	996
691	2228	991
692	2232	989
693	2234	985
694	2235	980
695	2236	976
696	2237	972
697	2238	968
698	2239	964
699	2240	960
700	2241	956
701	2243	952
702	2244	948
703	2248	945
704	2250	941
705	2251	937
706	2252	933
707	2254	929
708	2255	925
709	2290	935
710	2291	931
711	2292	927
712	2294	923
713	2295	919
714	2300	916
715	2301	912
716	2302	908
717	2303	904
718	2304	900
719	2305	896
720	2307	892
721	2308	888
722	2309	884
723	2310	880
724	2311	876
725	2317	874
726	2318	870
727	2320	866
728	2321	862
729	2322	858
730	2323	854
731	2324	850
732	2325	847
733	2326	843
734	2327	839
735	2341	839
736	2342	835
737	2343	832
738	2348	829
739	2349	825
740	2350	821
741	2352	817
742	2353	813
743	2354	810
744	2355	806
745	2356	802
746	2357	798
747	2358	794
